"segment_id","zone_approx"
"1","Eixample / Gran Via"
"2","Eixample / Gran Via"
"3","Eixample / Gran Via"
"4","Eixample / Gran Via"
"5","Eixample / Gran Via"
"6","Eixample / Gran Via"
"7","Eixample / Gran Via"
"8","Eixample / Gran Via"
"9","Eixample / Gran Via"
"10","Eixample / Gran Via"
"11","Eixample / Diagonal"
"12","Eixample / Diagonal"
"13","Eixample / Diagonal"
"14","Eixample / Diagonal"
"15","Eixample / Diagonal"
"16","Eixample / Diagonal"
"17","Eixample / Diagonal"
"18","Eixample / Diagonal"
"19","Eixample / Diagonal"
"20","Eixample / Diagonal"
"21","Les Corts / Sants"
"22","Les Corts / Sants"
"23","Les Corts / Sants"
"24","Les Corts / Sants"
"25","Les Corts / Sants"
"26","Les Corts / Sants"
"27","Les Corts / Sants"
"28","Les Corts / Sants"
"29","Les Corts / Sants"
"30","Les Corts / Sants"
"31","Sarria-Sant Gervasi"
"32","Sarria-Sant Gervasi"
"33","Sarria-Sant Gervasi"
"34","Sarria-Sant Gervasi"
"35","Sarria-Sant Gervasi"
"36","Sarria-Sant Gervasi"
"37","Sarria-Sant Gervasi"
"38","Sarria-Sant Gervasi"
"39","Sarria-Sant Gervasi"
"40","Sarria-Sant Gervasi"
"41","Gracia / Via Augusta"
"42","Gracia / Via Augusta"
"43","Gracia / Via Augusta"
"44","Gracia / Via Augusta"
"45","Gracia / Via Augusta"
"46","Gracia / Via Augusta"
"47","Gracia / Via Augusta"
"48","Gracia / Via Augusta"
"49","Gracia / Via Augusta"
"50","Gracia / Via Augusta"
"51","Sant Marti / Ronda Litoral"
"52","Sant Marti / Ronda Litoral"
"53","Sant Marti / Ronda Litoral"
"54","Sant Marti / Ronda Litoral"
"55","Sant Marti / Ronda Litoral"
"56","Sant Marti / Ronda Litoral"
"57","Sant Marti / Ronda Litoral"
"58","Sant Marti / Ronda Litoral"
"59","Sant Marti / Ronda Litoral"
"60","Sant Marti / Ronda Litoral"
"61","Ronda de Dalt / Nord"
"62","Ronda de Dalt / Nord"
"63","Ronda de Dalt / Nord"
"64","Ronda de Dalt / Nord"
"65","Ronda de Dalt / Nord"
"66","Ronda de Dalt / Nord"
"67","Ronda de Dalt / Nord"
"68","Ronda de Dalt / Nord"
"69","Ronda de Dalt / Nord"
"70","Ronda de Dalt / Nord"
"71","Accesses / Periphery"
"72","Accesses / Periphery"
"73","Accesses / Periphery"
"74","Accesses / Periphery"
"75","Accesses / Periphery"
"76","Accesses / Periphery"
"77","Accesses / Periphery"
"78","Accesses / Periphery"
